Local Authority,LA ID,Site (application),Name,Location,Location Coordinates,Boundary GeoJSON,Residential Units,Habitable Rooms,Commercial Area,Storeys,Date,Gross Development Value,Construction Costs,Professional Fees,Marketing and Letting,Finance,"Financial planning obligations, Inc AH",Developer Profit,Residual Land Value,Benchmark Land Value,Affordable Housing Percentage
Southwark,SWK,VA 17/AP/4596,Nyes Wharf,Nyes Wharf Frensham Street London SE15 6TH,"51.4828463267868, -0.068688288718927","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""17\/AP\/4596"", ""keyval"": ""ZZZV0SKBWR413"", ""datemodified"": ""2017\/12\/15"", ""address"": ""Nyes Wharf\rFrensham Street\rLondon\rSE15 6TH"", ""description"": ""Demolition of existing buildings and erection of mixed-use scheme comprising 1,193sqm Class B1 floorspace at ground and mezzanine levels; with 153 Residential units (Class C3) above in a building ranging from 9 to 18 storeys (max height 56.202m) with hard and soft landscaping including a new park and associated infrastructure works, including three disabled spaces and cycle parking.  \r\r(This application represents a departure from strategic policy 10 'Jobs and businesses' of the Core Strategy (2011) and saved policy 1.2 'strategic and local preferred industrial locations' of the Southwark Plan (2007) by virtue of proposing to introduce residential accommodation in a preferred industrial location).\r"", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 32194 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.068945072305738, 51.483773467437871 ], [ -0.068882287579716, 51.483381811542841 ], [ -0.068815095618003, 51.483386999764441 ], [ -0.068796582340333, 51.483296795517994 ], [ -0.068494203998407, 51.483328675756894 ], [ -0.068489869783425, 51.483262526503573 ], [ -0.067253241515141, 51.48338508738135 ], [ -0.067151635450763, 51.48302731325952 ], [ -0.067215841641003, 51.483008596819801 ], [ -0.067240446045068, 51.482580988983827 ], [ -0.067234099930084, 51.482593465073442 ], [ -0.067144294379769, 51.48258883731436 ], [ -0.067145398003695, 51.482427851381239 ], [ -0.067240711488653, 51.482411886872043 ], [ -0.067311757841413, 51.482512399565344 ], [ -0.067637191253527, 51.482447440760524 ], [ -0.067633740164378, 51.482440837249072 ], [ -0.068840117234431, 51.482213127005984 ], [ -0.068870794741054, 51.482223344296557 ], [ -0.06903297062512, 51.482201744024756 ], [ -0.069057905828215, 51.482257890993992 ], [ -0.069856853753939, 51.482131245811331 ], [ -0.069934050746268, 51.482316460808995 ], [ -0.069501106300461, 51.482423054386445 ], [ -0.069563535278646, 51.482870980011242 ], [ -0.070760165419275, 51.482772898147459 ], [ -0.07081451964332, 51.483057878598018 ], [ -0.069144491487515, 51.483185027344724 ], [ -0.069246954800701, 51.483750660413676 ], [ -0.068945072305738, 51.483773467437871 ] ] ] ] } }]}",153,431,1203,18,12/2017,"53,666,000","42,572,000",,,,"3,426,000","8,573,842",,"4,620,000",35
Southwark,SWK,VA 18/AP/0091,Dockley Road Industrial Estate,Dockley Road Industrial Estate 2 Dockley Road London London SE16 3SF,"51.4957982096234, -0.06928421681914","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""18\/AP\/0091"", ""keyval"": ""ZZZV0RKBWR806"", ""datemodified"": ""2018\/02\/02"", ""address"": ""Dockley Road Industrial Estate\r2 Dockley Road\rLondon\rLondon SE16 3SF"", ""description"": ""Demolition of the existing industrial units and redevelopment to provide a building ranging from one to nine storeys (32.55m AOD and 29.9m above ground) in height accommodating 1,093sqm of commercial floorspace at ground floor level incorporating industrial use (Use Class B8); retail uses (Use Class A1); and restaurants and cafe uses (Use Class A3) and 111 residential units (Class C3) at upper levels with associated works, including landscaping and 3 disabled car parking spaces."", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 35404 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.069285188245511, 51.496075201361506 ], [ -0.06836588763652, 51.495668460906359 ], [ -0.068398693276795, 51.495659559030784 ], [ -0.068577264987981, 51.495644524041921 ], [ -0.068593932180816, 51.495677612603536 ], [ -0.06968814767323, 51.495540102033743 ], [ -0.069736199003393, 51.495561117371658 ], [ -0.069864633182395, 51.495948546850428 ], [ -0.069793644546655, 51.496009409457528 ], [ -0.069285188245511, 51.496075201361506 ] ] ] ] } }]}",111,295,24497,9,27/06/2018,"55,440,069","30,587,000","3,234,522","532,845","1,930,808","3,596,013","8,964,659","5,187,617",,35
Southwark,SWK,VA 18/AP/0900,Capital House London Bridge,Capital House 42-46 Weston Street London SE1 3QD,"51.5030865024492, -0.085208097165962","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""18\/AP\/0900"", ""keyval"": ""ZZZV0PKBWR207"", ""datemodified"": ""2018\/04\/18"", ""address"": ""Capital House\r42-46 Weston Street\rLondon SE1 3QD"", ""description"": ""Redevelopment of the site to include the demolition of Capital House and the erection of a 39-storey building (3 basement levels and ground with mezzanine and 38 storeys) of a maximum height of 137.9m (AOD) to provide up to 905 student accommodation units (Sui Generis use), flexible retail\/café\/office floorspace (Class A1\/A3\/B1), cycle parking, servicing, refuse and plant areas, public realm improvements and other associated works incidental to the development. The application is accompanied by an Environmental Statement submitted pursuant to the Town and Country Planning (Environmental Impact Assessment) Regulations 2017.\rA hard copy of the application documents is available for inspection by prior appointment at Southwark Council's offices, 160 Tooley Street, SE1 2QH (Monday to Friday 9am to 5pm). Copies of the Non-Technical Summary are available free of charge, CD copies of the full ES are available for purchase for £10 and printed copies of the ES can be provided on request for sale at a cost of £300 by contacting: Environmental Planning & Assessment Ltd, 22 Old Kennels Lane, Winchester, SO22 4JP (Tel: 01962 621890 Email: es@epalimited.co.uk)"", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 35431 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.085060076370733, 51.503081942700184 ], [ -0.085137006700558, 51.502828250054726 ], [ -0.085395082115712, 51.502940698352688 ], [ -0.085400043775455, 51.502944016685625 ], [ -0.085308323834151, 51.503304102098127 ], [ -0.085303027270721, 51.503308772701452 ], [ -0.085266821490821, 51.503319332389609 ], [ -0.084987396159658, 51.50322873789505 ], [ -0.084997508304784, 51.503217122730973 ], [ -0.085018413558661, 51.503197239768546 ], [ -0.085035478944355, 51.503135937204377 ], [ -0.085049737745087, 51.50308761906544 ], [ -0.085051313945775, 51.503084047768603 ], [ -0.085060076370733, 51.503081942700184 ] ] ] ] } }]}",905,2539,14436270,39,10/01/2019,"303,124,277","152,990,000","17,878,800","14,600","27,947,570","5,290,612","38,967,151",,,0
Southwark,SWK,VA 18/AP/1603 - 2018-06-22,"Sampson House, Hopton Street, SE1","51.506510, -0.102420","51.5074193465021, -0.102910343522285","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""18\/AP\/1603"", ""keyval"": ""ZZZV0PKBWR258"", ""datemodified"": ""2018\/06\/08"", ""address"": ""Sampson House\r64 Hopton Street\rLondon\rSE1 9JH"", ""description"": ""Redevelopment to create two levels of basement and the erection of five buildings ranging from seven to 34 storeys plus plant (heights ranging from 28.9m AOD ¿ 123.9m AOD) to provide: 341 dwellings (Class C3); 8,054sqm (GIA) of office space (Class B1); 1,436sqm (GIA) of retail floorspace (Class A1-A4); 904sqm (GIA) of cultural floorspace (Class D1\/D2); 16,254sqm (GIA) hotel with up to 126 rooms (Class C1); new open space; reconfigured vehicular and pedestrian access; highway works; landscaping; basement car park for 107 cars (including 29 disabled car parking spaces), plus servicing and plant areas; and works associated and ancillary to the proposed development.\r\rThe application is accompanied by an Environmental Statement submitted pursuant to the Town and Country Planning (Environmental Impact Assessment) Regulations 2017. A hard copy of the application documents is available for inspection by prior appointment at Southwark Council's offices, 160 Tooley Street, SE1 2QH (Monday to Friday 9am to 5pm). Copies of the Non-Technical Summary are available free of charge and printed\/electronic copies of the Environmental Statement can be purchased. To request a copy of the Non-Technical Summary or to purchase the ES  please contact: Trium Environmental Consulting LLP,  69-85 Tabernacle Street, London EC2A 4BD or by email at hello@triumenv.co.uk or Telephone: +44 (0) 203 887 7118.\r\r"", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 34137 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.103180376752937, 51.508120884761752 ], [ -0.102581987009594, 51.508123174441032 ], [ -0.102539651843823, 51.508091195421059 ], [ -0.102545365410751, 51.506772277363183 ], [ -0.102712267410853, 51.506761758458588 ], [ -0.102777493651117, 51.506701592287811 ], [ -0.102862256312908, 51.506637344745002 ], [ -0.103165511040394, 51.506762354454544 ], [ -0.103167501172687, 51.506800137403289 ], [ -0.103276074249203, 51.506840552368608 ], [ -0.103321504563375, 51.507603370394982 ], [ -0.103284827148211, 51.50765410675659 ], [ -0.10324770800985, 51.507738378201623 ], [ -0.103252523763952, 51.508065866094057 ], [ -0.103226623387908, 51.508082982700373 ], [ -0.103180376752937, 51.508120884761752 ] ] ], [ [ [ -0.102581987009594, 51.508123174441032 ], [ -0.102596210591033, 51.508133916853531 ], [ -0.10257359864488, 51.508123209589655 ], [ -0.102581987009594, 51.508123174441032 ] ] ] ] } }]}",341,"1,206",0,8,18-May,"750,909,303","347,792,490","41,321,880","10,111,246",,,,"63,940,469","100,917,918",35
Southwark,SWK,VA 18/AP/2295 - 2018-07-30,"Alscot Road, London SE1 3AG","51.49544, -0.073560","51.4941558339468, -0.073467696608242","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""18\/AP\/2295"", ""keyval"": ""ZZZV0NKBWR928"", ""datemodified"": ""2018\/07\/30"", ""address"": ""77-89 Alscot Road\rLondon\rSE1 3AW"", ""description"": ""Redevelopment of site to provide 143 student bedrooms in a building ranging from 3- to 7-storeys (plus basement) and ancillary bin store, cycle store, laundry and office\/reception, car parking, substation, associated landscaping, and alterations to the vehicle access.  Removal of a street tree on Alscot Road and works to the highway."", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 42609 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.073772318927497, 51.4941781088176 ], [ -0.073660778114032, 51.494242893847996 ], [ -0.073632134984934, 51.494251865564877 ], [ -0.073241114901153, 51.494341905267682 ], [ -0.073121272622387, 51.494138915298471 ], [ -0.073720921714894, 51.493951792823722 ], [ -0.073755486860075, 51.494010794588959 ], [ -0.073768799196511, 51.494055877394523 ], [ -0.073707388327195, 51.494067098587692 ], [ -0.073772318927497, 51.4941781088176 ] ] ] ] } }]}",143,143,0,7,18-Jul,"23,546,081","11,760,002","1,176,000","470,922","1,461,058","1,160,465","3,531,912","3,985,722","3,985,722",0
Southwark,SWK,VA 18/AP/2497 - 2018-07-30,"79-161 Ilderton Road, London, SE16","51.481740, -0.053830","51.4867199004956, -0.054336289764725","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""18\/AP\/2497"", ""keyval"": ""ZZZV0NKBWR746"", ""datemodified"": ""2018\/08\/14"", ""address"": ""79-161 Ilderton Road\rLondon\rSE16 3JZ"", ""description"": ""Full planning permission is sought for the redevelopment of 79-161 Ilderton Road to provide two buildings separated by a publicly accessible open square. The north building is a series of towers and interlocking terraces arranged over basement, ground, ground mezzanine floors to a maximum height of 28 storeys (92m AOD). The south building also comprising a series of towers and interlocking terraces and houses arranged over basement, ground, ground mezzanine floors to a maximum of 11 storeys (47.9m AOD). In total, the scheme would provide 335 residential units across 32,208 m2 GIA of residential floor space (Use Class C3) including 101 on-site affordable housing units; 495 m2 GIA of retail floorspace (Use Class A1); and associated disabled parking, cycle parking, children's playspace, public realm improvements and landscaping.\r\rThis application represents a departure from strategic policy 10 'Jobs and Businesses' of the Core Strategy (2011) and Saved Policy 1.2 'Strategic and Local Preferred Industrial Locations' of the Southwark Plan (2007) by virtue of proposing to introduce residential accommodation in a Preferred Industrial Location."", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 33440 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.054052180630726, 51.485843454726606 ], [ -0.054948072350021, 51.487490285970274 ], [ -0.054603176066228, 51.487543538198217 ], [ -0.054527619239413, 51.487463176366624 ], [ -0.054303953440184, 51.48715154817188 ], [ -0.054383126680785, 51.487041029369216 ], [ -0.05430537350043, 51.487026160330849 ], [ -0.053968406317263, 51.486357738661248 ], [ -0.054003410680393, 51.486352924006823 ], [ -0.05376336517464, 51.485960385783791 ], [ -0.05369960747704, 51.485954471490516 ], [ -0.053629882872223, 51.485898926624472 ], [ -0.054052180630726, 51.485843454726606 ] ] ] ] } }]}",335,374,0,28,,"140,000,241",,,"1,765,573","9,086,508",,"16,172,461",,"5,382,000",35
Southwark,SWK,VA 18/AP/2761,301-303 Ilderton Road London SE15 1NW,301-303 Ilderton Road London SE15 1NW,"51.4807354997754, -0.053428859419728","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""18\/AP\/2761"", ""keyval"": ""ZZZV0NKBWR681"", ""datemodified"": ""2018\/09\/11"", ""address"": ""301-303 Ilderton Road\rLondon\rSE15 1NW"", ""description"": ""Demolition of existing buildings and construction of part 13 \/ part 14 storey building (plus basement) comprising 48 residential dwellings (Class C3) and commercial floorspace (Class B1(c)), creation of a new vehicular access from Hornshay Street with landscaping (including a communal roof garden), cycle parking and associated ancillary development. \n\nThis application represents a departure from strategic policy 10 'Jobs and Businesses' of the Core Strategy (2011) and Saved Policy 1.2 'Strategic and Local Preferred Industrial Locations' of the Southwark Plan (2007) by virtue of proposing to introduce residential accommodation in a preferred industrial location."", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 37563 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.053527398472866, 51.480882024889915 ], [ -0.053276343734729, 51.480905005767433 ], [ -0.053295677222179, 51.48085785454029 ], [ -0.053297008536848, 51.480826591203474 ], [ -0.053445686853738, 51.480503084875352 ], [ -0.053507141488421, 51.480490526185889 ], [ -0.053527398472866, 51.480882024889915 ] ] ] ] } }]}",48,80,0,14,08/2018,"19,239,000","11,489,000","1,379,000","221,000","956,000","581,000","3,042,000","1,101,000","1,167,000",35
Southwark,SWK,VA 18/AP/3167,"151-157 Tower Bridge Road, SE1","151-157 Tower Bridge Road, SE1","51.4989852839727, -0.079670686474541","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""18\/AP\/3167"", ""keyval"": ""ZZZV0NKBWR408"", ""datemodified"": ""2018\/10\/25"", ""address"": ""151-157 Tower Bridge Road\rLondon SE1 3JE"", ""description"": ""Alterations and refurbishment of the existing buildings, including: Change of use from 106 residential units (40 x studios, 36 x 1bed and 30 x 2bed), 41 aparthotel units\/partially vacant aparthotel floorspace and flexible retail\/commercial floorspace to 86 residential units (4 x studio, 30 x 1-bed, 45 x 2-bed and 7 x 3-bed), 143 aparthotel units, a new gym (D2), a cafe (A3) and flexible retail\/commercial floorspace (A1, A2, A3, B1a); installation of balconies, alterations to elevations, minor alterations to increase the height of the buildings (max. 34.26 metres), the demolition and rebuild of levels 8 and 9 of 151 Tower Bridge Road; landscaping and associated works"", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 37654 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.079904196015323, 51.499390127464935 ], [ -0.079373924312613, 51.499338567411492 ], [ -0.079172039558686, 51.499308831615565 ], [ -0.07948955281733, 51.498540884283813 ], [ -0.080031048358176, 51.498618616238325 ], [ -0.079990576202494, 51.498855196311389 ], [ -0.080421432102289, 51.498889227435122 ], [ -0.080407342422323, 51.498972870749277 ], [ -0.080309981088322, 51.498960395980511 ], [ -0.080337904608921, 51.498909613261212 ], [ -0.080022950793826, 51.498893576194831 ], [ -0.079980178226357, 51.499170486358743 ], [ -0.079904196015323, 51.499390127464935 ] ] ] ] } }]}",90,252,1347,10,09/2018,"152,388,000","43,547,000","4,355,000","1,838,000",,"640,000",,"55,885,000","60,758,000",0
Southwark,SWK,VA 18/AP/3246,"Cantium Retail Park, Old Kent Road, SE1 5BA",Land At Cantium Retail Park 520 Old Kent Road London SE1 5BA,"51.4836810998993, -0.067417262154057","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""18\/AP\/3246"", ""keyval"": ""ZZZV0LKBWR896"", ""datemodified"": ""2018\/11\/01"", ""address"": ""Land At Cantium Retail Park\r520 Old Kent Road\rLondon SE1 5BA"", ""description"": ""Demolition of existing buildings and redevelopment of the site to provide a new basement level and buildings ranging from 3 to 48 storeys in height (max height 159.05m above ground level) comprising up to 1,113 residential units (Class C3), up to 5,659 sq. m of office floorspace (Class B1(a)), up to 2,228 sq. m of retail floorspace (Class A1), up to 2,336 sq. m of flexible space including use within Classes A1, A3, D1, D2 and \/ or Sui Generis (Theatre) within Block B and up to 596 sq. m of flexible space within Classes A1, A2 and \/ or A3 within Block C together with associated access, car parking, landscaping and infrastructure works.\n\nThe application is accompanied by an Environmental Statement which can be purchased from Ramboll (london@ramboll.co.uk) at a cost of £10 per copy for a CD and £698+VAT for a hard copy."", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 37864 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.06619207528372, 51.483376583845036 ], [ -0.066146166495474, 51.483338965890354 ], [ -0.066184416420455, 51.483302286285038 ], [ -0.067151635450763, 51.48302731325952 ], [ -0.067195381566483, 51.483186259751179 ], [ -0.067253241515141, 51.48338508738135 ], [ -0.068465926163453, 51.483264380245096 ], [ -0.068494203998407, 51.483328675756894 ], [ -0.068900591677108, 51.483544474948175 ], [ -0.068940013069582, 51.483755488784197 ], [ -0.068905776009484, 51.483784501701095 ], [ -0.068728312849605, 51.483822126699238 ], [ -0.06833597496068, 51.48397352967843 ], [ -0.068218737252885, 51.484030392087433 ], [ -0.067782527788946, 51.48437660621817 ], [ -0.067574599257561, 51.484334160656026 ], [ -0.065795266644031, 51.483633532107525 ], [ -0.06619207528372, 51.483376583845036 ] ] ] ] } }]}",1113,2564,8595,48,08/10/2018,"539,531,589","364,284,000","36,428,400","4,703,950","55,784,232","20,401,394","96,791,963","56,147,710","39,900,000",35
Southwark,SWK,VA 18/AP/4052,"Canada Water, London, SE16",anada Water Sites C And E Surrey Quays Road London SE16 2XU,"51.4976914058538, -0.046529379919324","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""18\/AP\/4052"", ""keyval"": ""ZZZV0LKBWR867"", ""datemodified"": ""2019\/02\/13"", ""address"": ""Canada Water Sites C And E\rSurrey Quays Road\rLondon SE16 2XU"", ""description"": ""Approval of Reserved Matters pursuant to Condition 1 (b) of Outline Planning Permission 17\/AP\/3694 for Building E1 (known as phase 2)  including means of access; layout; scale; appearance; and landscaping . The proposals comprise the construction of four buildings ranging from 31.375m (AOD) up to 37.375m in height (AOD) comprising up to 21,417.18sqm (GEA) residential floorspace; 223 residential units;  332.99sqm (GEA) health care (Class D1); approximately 483.68 sqm (GEA) of flexible retail space (Class A1-A3); landscaping; new public realm; and basement comprising ancillary wheelchair accessible parking, cycle storage and plant areas. The application is accompanied by an Environmental Statement Addendum submitted pursuant to the Town and Country Planning (Environmental Impact Assessment) Regulations 2017. The ES Addendum is available for viewing by the public online via Planning Register  at: www.planning.southwark.gov.uk\nPrinted copies of this ES Addendum are available on request for a charge. Requests to purchase a paper or DVD copy of the ES should be made to:\n\nAECOM\nSt. George's House, 3rd Floor\n5 St George's Road\nWimbledon\nLondon\nSW19 4DR\n"", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 36831 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.047109781838844, 51.496583185749188 ], [ -0.047933598000702, 51.497622134706951 ], [ -0.0483704730786, 51.497720204818215 ], [ -0.048313858633797, 51.497813478451675 ], [ -0.048137031644157, 51.498132291922978 ], [ -0.047986374923571, 51.498380426987886 ], [ -0.047949657315266, 51.498413978818647 ], [ -0.047851477823561, 51.498470778638726 ], [ -0.047739922813862, 51.498501735688357 ], [ -0.04758121171932, 51.498524263799247 ], [ -0.047421813955113, 51.498562517375646 ], [ -0.047172824202029, 51.498751560140242 ], [ -0.047047070914515, 51.498708837239533 ], [ -0.046882446537561, 51.498658353636692 ], [ -0.046654585415579, 51.498558723866239 ], [ -0.046503103115942, 51.498481588629566 ], [ -0.046306007461697, 51.498356940564797 ], [ -0.04624596266858, 51.498313683803396 ], [ -0.046142971801558, 51.498274747356717 ], [ -0.04606033372751, 51.498271302160894 ], [ -0.045902304658252, 51.49833043040735 ], [ -0.045786639553638, 51.498409958295866 ], [ -0.045570147863084, 51.498566994892379 ], [ -0.045466696905652, 51.498527699472007 ], [ -0.045370676576575, 51.498486810218161 ], [ -0.045104896564917, 51.49836299365068 ], [ -0.045017926089997, 51.498307596963237 ], [ -0.045015874840213, 51.498255873076857 ], [ -0.045016998658662, 51.498223887008855 ], [ -0.044483826503438, 51.49801406576249 ], [ -0.045722660129301, 51.496976049942745 ], [ -0.045826877363206, 51.496675004490037 ], [ -0.046247635652787, 51.49665810392284 ], [ -0.047043260384148, 51.496491279250741 ], [ -0.047100771227255, 51.496574231898776 ], [ -0.047109781838844, 51.496583185749188 ] ] ] ] } }]}",1022,2964,0,40,,"526,851,002",,,"6,168,839",,"7,008,957","-12,341,053",,"14,500,000",23
Southwark,SWK,VA 19/AP/0830,"LANDMARK COURT, REDCROSS WAY, SOUTHWARK","LANDMARK COURT, REDCROSS WAY, SOUTHWARK","51.5042390439405, -0.092607832542578","{""type"": ""FeatureCollection"",""name"": ""lbs"",""crs"": { ""type"": ""name"", ""properties"": { ""name"": ""urn:ogc:def:crs:OGC:1.3:CRS84"" } },""features"": [{ ""type"": ""Feature"", ""properties"": { ""refval"": ""19\/AP\/0830"", ""keyval"": ""ZZZV0JKBWR891"", ""datemodified"": ""2019\/03\/27"", ""address"": ""Landmark Court\rLand Bounded By Southwark Street\rRedcross Way And Cross Bones Graveyard\rLondon SE1"", ""description"": ""Phased mixed-use development comprising demolition of Nos 25-33 Southwark Street, restoration of 15 Southwark Street for residential use and erection of new buildings comprising: Part 6\/9\/10 storey office building (plus single level basement) and 3 storey workshop building (Use Class B1), flexible ground floor uses (Use Classes B1\/A1\/A2\/A3\/A4 and D2), a marketplace with up to 9 permanent stalls (Use Class A1), 35 residential units (new build 8 storey block and refurbishment of 15 Southwark Street) together with associated areas of new public realm, enhancements to Crossbones Graveyard, hard and soft landscaping, means of access and enclosure and installation of ancillary plant and equipment."", ""ispavisible"": 1.0, ""iscavisible"": 1.0, ""shape.AREA"": 0.0, ""shape.LEN"": 0.0, ""se_sdo_rowid"": 36216 }, ""geometry"": { ""type"": ""MultiPolygon"", ""coordinates"": [ [ [ [ -0.092502817708003, 51.50458670698081 ], [ -0.091745521412709, 51.504584548863811 ], [ -0.091757719997882, 51.504520198645672 ], [ -0.091604267488028, 51.504521748351259 ], [ -0.091845474603579, 51.504046233987268 ], [ -0.092259654116151, 51.504113833907297 ], [ -0.092576012221443, 51.504213824345378 ], [ -0.092789030922276, 51.503986251513503 ], [ -0.093062181784595, 51.504065394610578 ], [ -0.093244238495509, 51.50382247976691 ], [ -0.093297732462722, 51.503739116046894 ], [ -0.093355608487072, 51.503678835542601 ], [ -0.093657747673315, 51.503769419478829 ], [ -0.093156304580399, 51.504466087386831 ], [ -0.092937549374519, 51.504407235050905 ], [ -0.092880978650615, 51.504484532541738 ], [ -0.092617027491104, 51.504409666255107 ], [ -0.092503188864849, 51.504577819361742 ], [ -0.092502817708003, 51.50458670698081 ] ] ] ] } }]}",35,69,20321,9,,"182,758,515","112,590,000","13,510,800",,,"7,918,184",,"2,572,086",,38
